Site_ID,BeforeAfter,Date,Height,Temp,AirTemp
AMC_forest,before,2024-01-08,23.5,-5,-5
AMC_forest,before,2024-01-08,20,-4,-5
AMC_forest,before,2024-01-08,10,-2,-5
AMC_forest,before,2024-01-08,0,-1,-5
AMC_forest,after,2024-01-11,28.5,-1,-1
AMC_forest,after,2024-01-11,23,0,-1
AMC_forest,after,2024-01-11,18,0,-1
AMC_forest,after,2024-01-11,13,0,-1
AMC_forest,after,2024-01-11,8,0,-1
AMC_forest,after,2024-01-11,3,0,-1
AMC_forest,after,2024-01-11,0,0.5,-1
AMC_cleaning1,before,2024-01-08,27,-5,-5
AMC_cleaning1,before,2024-01-08,25,-4,-5
AMC_cleaning1,before,2024-01-08,20,-3,-5
AMC_cleaning1,before,2024-01-08,15,-2,-5
AMC_cleaning1,before,2024-01-08,10,-2,-5
AMC_cleaning1,before,2024-01-08,5,-1,-5
AMC_cleaning1,before,2024-01-08,0,-1,-5
AMC_cleaning2,before,2024-01-08,27,-5,-5
AMC_clearing2,before,2024-01-08,,,
AMC_clearing2,before,2024-01-08,20,-4,
AMC_clearing2,before,2024-01-08,15,-3,-5
AMC_clearing2,before,2024-01-08,10,-2,
AMC_clearing2,before,2024-01-08,5,-2,-5
AMC_clearing2,before,2024-01-08,0,0,-5
AMC_cleaning3,before,2024-01-08,19,-5,-5
AMC_cleaning3,before,2024-01-08,15,-3.5,-5
AMC_cleaning3,before,2024-01-08,10,-2,-5
AMC_cleaning3,before,2024-01-08,5,-2,-5
AMC_cleaning3,before,2024-01-08,0,-1,-5
AMC_cleaning4,before,2024-01-08,13,-5,-5
AMC_cleaning4,before,2024-01-08,10,-3,-5
AMC_cleaning4,before,2024-01-08,5,-2,-5
AMC_cleaning4,before,2024-01-08,0,-1,-5
AMC_cleaning1,after,2024-01-11,35,0,0
AMC_cleaning1,after,2024-01-11,30,0,0
AMC_cleaning3,after,2024-01-11,25,1,0
AMC_cleaning1,after,2024-01-11,20,1,0
AMC_cleaning1,after,2024-01-11,15,1,0
AMC_cleaning1,after,2024-01-11,10,1,0
AMC_cleaning1,after,2024-01-11,5,1,0
AMC_cleaning1,after,2024-01-11,0,1,0
AMC_cleaning2,after,2024-01-11,33.7,0,0
AMC_cleaning2,after,2024-01-11,30,0,0
AMC_cleaning2,after,2024-01-11,25,1,0
AMC_cleaning2,after,2024-01-11,20,1,0
AMC_cleaning2,after,2024-01-11,15,1,0
AMC_cleaning2,after,2024-01-11,10,0,0
AMC_cleaning2,after,2024-01-11,5,0,0
AMC_cleaning2,after,2024-01-11,0,0,0
AMC_cleaning3,after,2024-01-11,29.7,0,0
AMC_cleaning3,after,2024-01-11,25,0,0
AMC_cleaning3,after,2024-01-11,20,1,0
AMC_cleaning3,after,2024-01-11,15,1,0
AMC_cleaning3,after,2024-01-11,10,1,0
AMC_cleaning3,after,2024-01-11,5,1,0
AMC_cleaning3,after,2024-01-11,0,1,0
AMC_cleaning4,after,2024-01-11,25.5,0,0
AMC_cleaning4,after,2024-01-11,20,1,0
AMC_cleaning4,after,2024-01-11,15,1,0
AMC_cleaning4,after,2024-01-11,10,1,0
AMC_cleaning4,after,2024-01-11,5,1,0
AMC_cleaning4,after,2024-01-11,0,1,0
AMC_cleaning5a,before,2024-01-08,23,-6,-5
AMC_cleaning5a,before,2024-01-08,20,-5,-5
AMC_cleaning5a,before,2024-01-08,10,-3,-5
AMC_cleaning5a,before,2024-01-08,0,-2,-5
AMC_cleaning5b,before,2024-01-08,19,-3,-5
AMC_cleaning5b,before,2024-01-08,10,-2,-5
AMC_cleaning5b,before,2024-01-08,0,-1.5,-5
AMC-cleaning5,after,2024-01-11,37,-1,-0.5
AMC-cleaning5,after,2024-01-11,32,0,-0.5
AMC-cleaning5,after,2024-01-11,27,0,-0.5
AMC-cleaning5,after,2024-01-11,22,0,-0.5
AMC-cleaning5,after,2024-01-11,17,0,-0.5
AMC-cleaning5,after,2024-01-11,12,0,-0.5
AMC-cleaning5,after,2024-01-11,7,0,-0.6
AMC-cleaning5,after,2024-01-11,2,0,-0.5
AMC-cleaning5,after,2024-01-11,0,0,-0.5
AMC_creek,before,2024-01-08,17,-4,-5
AMC_creek,before,2024-01-08,10,-2,-5
AMC_creek,before,2024-01-08,0,-0.5,-5
AMC_creek,after,2024-01-11,26.5,-1.2,-1
AMC_creek,after,2024-01-11,21,0,-1
AMC_creek,after,2024-01-11,16,0,-1
AMC_creek,after,2024-01-11,11,0,-1
AMC_creek,after,2024-01-11,6,0,-1
AMC_creek,after,2024-01-11,0,0,-1
